id,totalCost,regionName,bedrooms,url,neighbourhood
893394619,1462,Jardim Leblon,3,https://www.quintoandar.com.br/imovel/893394619/,NA
893775275,1454,Aparecida Sétima Seção,3,https://www.quintoandar.com.br/imovel/893775275/,NA
893773192,1442,Inconfidentes,3,https://www.quintoandar.com.br/imovel/893773192/,NA
893495419,1440,Vila Cloris,3,https://www.quintoandar.com.br/imovel/893495419/,NA
893331684,1431,Floramar,3,https://www.quintoandar.com.br/imovel/893331684/,NA
893708272,1424,Salgado Filho,3,https://www.quintoandar.com.br/imovel/893708272/,NA
893432771,1400,Piratininga,4,https://www.quintoandar.com.br/imovel/893432771/,NA
893080101,1383,Santa Terezinha,3,https://www.quintoandar.com.br/imovel/893080101/,NA
893738451,1377,Monte Castelo,3,https://www.quintoandar.com.br/imovel/893738451/,NA
893726804,1315,Jardim Riacho das Pedras,3,https://www.quintoandar.com.br/imovel/893726804/,NA
893778475,1302,São João Batista,3,https://www.quintoandar.com.br/imovel/893778475/,NA
893716686,1296,Providência,3,https://www.quintoandar.com.br/imovel/893716686/,NA
893690506,1296,Paulo VI,3,https://www.quintoandar.com.br/imovel/893690506/,NA
893727475,1242,Serra Verde,3,https://www.quintoandar.com.br/imovel/893727475/,NA
893777987,1231,São João Batista,3,https://www.quintoandar.com.br/imovel/893777987/,NA
893719571,1186,Jaqueline,3,https://www.quintoandar.com.br/imovel/893719571/,NA
893572368,1149,Jaqueline,3,https://www.quintoandar.com.br/imovel/893572368/,NA
893756704,1136,Coqueiros,3,https://www.quintoandar.com.br/imovel/893756704/,NA
893762934,1084,Elizabeth,3,https://www.quintoandar.com.br/imovel/893762934/,NA
893336407,1077,Santo André,3,https://www.quintoandar.com.br/imovel/893336407/,NA
893350458,1003,Jaqueline,3,https://www.quintoandar.com.br/imovel/893350458/,NA
893730162,953,Papine,3,https://www.quintoandar.com.br/imovel/893730162/,NA
893787070,880,Botafogo,3,https://www.quintoandar.com.br/imovel/893787070/,NA
893786774,2133,NA,3,https://www.quintoandar.com.br/imovel/893786774/,Santa Efigênia
893316214,2010,NA,3,https://www.quintoandar.com.br/imovel/893316214/,São Lucas
893793704,1833,NA,3,https://www.quintoandar.com.br/imovel/893793704/,Prado
893312463,2181,NA,3,https://www.quintoandar.com.br/imovel/893312463/,Prado
893793575,2264,NA,3,https://www.quintoandar.com.br/imovel/893793575/,Sagrada Família
893484176,2200,NA,3,https://www.quintoandar.com.br/imovel/893484176/,Sagrada Família
893782631,1720,NA,3,https://www.quintoandar.com.br/imovel/893782631/,Padre Eustáquio
893803904,1781,NA,3,https://www.quintoandar.com.br/imovel/893803904/,Padre Eustáquio
892866784,2285,NA,3,https://www.quintoandar.com.br/imovel/892866784/,Santo Antônio
893343271,2093,NA,3,https://www.quintoandar.com.br/imovel/893343271/,Sion
893805076,1863,NA,3,https://www.quintoandar.com.br/imovel/893805076/,São Pedro
893804224,2236,NA,3,https://www.quintoandar.com.br/imovel/893804224/,Padre Eustáquio
893082023,2256,NA,3,https://www.quintoandar.com.br/imovel/893082023/,Sagrada Família
